100; 7538.8
200; 29968.6
300; 67642.4
400; 121114
500; 187111
600; 273218
700; 370750
800; 476093
900; 613062
1000; 741010
1100; 892889
1200; 1.08977e+06
1300; 1.27483e+06
1400; 1.47672e+06
1500; 1.68596e+06
1600; 1.92318e+06
1700; 2.16722e+06
1800; 2.42461e+06
1900; 2.73485e+06
2000; 2.98767e+06
2100; 3.33528e+06
2200; 3.60008e+06
2300; 3.96547e+06
2400; 4.3364e+06
2500; 4.66961e+06
2600; 5.06132e+06
2700; 5.504e+06
2800; 5.88488e+06
2900; 6.26697e+06
3000; 6.74712e+06
3100; 7.17983e+06
3200; 7.70669e+06
3300; 8.14656e+06
3400; 8.7257e+06
3500; 9.15716e+06
3600; 9.76465e+06
3700; 1.02174e+07
3800; 1.07314e+07
3900; 1.13972e+07
4000; 1.19591e+07
4100; 1.25235e+07
4200; 1.31664e+07
4300; 1.38091e+07
4400; 1.4466e+07
4500; 1.51585e+07
4600; 1.581e+07
4700; 1.65153e+07
4800; 1.73824e+07
4900; 1.79754e+07
5000; 1.87276e+07
5100; 1.95305e+07
5200; 2.02933e+07
5300; 2.11528e+07
5400; 2.18406e+07
5500; 2.25416e+07
5600; 2.3579e+07
5700; 2.43333e+07
5800; 2.52527e+07
5900; 2.6109e+07
6000; 2.71268e+07
6100; 2.78781e+07
6200; 2.87182e+07
6300; 2.94823e+07
6400; 3.05923e+07
6500; 3.17979e+07
6600; 3.26915e+07
6700; 3.37739e+07
6800; 3.46492e+07
6900; 3.55555e+07
7000; 3.67868e+07
7100; 3.75433e+07
7200; 3.8839e+07
7300; 4.00294e+07
7400; 4.10998e+07
7500; 4.21169e+07
7600; 4.30849e+07
7700; 4.45074e+07
7800; 4.57475e+07
7900; 4.67227e+07
8000; 4.8259e+07
8100; 4.88742e+07
8200; 5.06085e+07
8300; 5.1977e+07
8400; 5.3062e+07
8500; 5.43373e+07
8600; 5.53687e+07
8700; 5.66229e+07
8800; 5.77647e+07
8900; 5.93938e+07
9000; 6.08479e+07
9100; 6.20225e+07
9200; 6.34184e+07
9300; 6.49625e+07
9400; 6.66767e+07
9500; 6.80203e+07
9600; 6.922e+07
9700; 7.03676e+07
9800; 7.21962e+07
9900; 7.30523e+07
10000; 7.48644e+07
