100; 2848; 1344.09
300; 25605.8; 12559.6
500; 69896.9; 34541.5
700; 134917; 66887.8
900; 224516; 111524
1100; 334209; 166207
1300; 458730; 228303
1500; 617062; 307306
1700; 788621; 392921
1900; 979898; 488397
2100; 1.19122e+06; 593895
2300; 1.44925e+06; 722743
2500; 1.70486e+06; 850386
2700; 1.98648e+06; 991033
2900; 2.31237e+06; 1.15381e+06
3100; 2.63171e+06; 1.31332e+06
3300; 2.98407e+06; 1.48934e+06
3500; 3.34905e+06; 1.67166e+06
3700; 3.73052e+06; 1.86223e+06
3900; 4.14779e+06; 2.0707e+06
4100; 4.57562e+06; 2.28446e+06
4300; 5.04007e+06; 2.51652e+06
4500; 5.51137e+06; 2.75201e+06
4700; 5.98569e+06; 2.989e+06
4900; 6.5513e+06; 3.27164e+06
5100; 7.14452e+06; 3.56809e+06
5300; 7.68048e+06; 3.8359e+06
5500; 8.23752e+06; 4.11426e+06
5900; 9.48037e+06; 4.73536e+06
5700; 8.8625e+06; 4.42659e+06
200; 11386.9; 5531.82
6100; 1.01579e+07; 5.07394e+06
6300; 1.08047e+07; 5.39722e+06
6500; 1.15862e+07; 5.7878e+06
6700; 1.23085e+07; 6.14877e+06
6900; 1.30322e+07; 6.51046e+06
7100; 1.37981e+07; 6.89325e+06
7300; 1.4564e+07; 7.27605e+06
7500; 1.53755e+07; 7.68161e+06
7700; 1.61377e+07; 8.06256e+06
7900; 1.69243e+07; 8.45571e+06
8100; 1.78886e+07; 8.93766e+06
8300; 1.88151e+07; 9.40079e+06
8500; 1.97037e+07; 9.84488e+06
8700; 2.0634e+07; 1.03099e+07
8900; 2.15516e+07; 1.07685e+07
400; 43564.4; 21456.7
9100; 2.25278e+07; 1.12565e+07
9300; 2.35673e+07; 1.17761e+07
600; 99341.1; 49181.7
9500; 2.46417e+07; 1.23131e+07
9700; 2.57841e+07; 1.28841e+07
800; 175737; 87216.6
9900; 2.6887e+07; 1.34354e+07
1000; 270465; 134417
1200; 392390; 195215
1400; 536700; 267207
1600; 708259; 352822
1800; 895426; 446242
2000; 1.10336e+06; 550046
2200; 1.30796e+06; 652184
2400; 1.58357e+06; 789824
2600; 1.85024e+06; 922996
2800; 2.14396e+06; 1.06969e+06
3000; 2.45205e+06; 1.22357e+06
3200; 2.80108e+06; 1.39793e+06
3400; 3.15782e+06; 1.57613e+06
3600; 3.51564e+06; 1.75488e+06
3800; 3.97953e+06; 1.98666e+06
4000; 4.32537e+06; 2.15941e+06
4200; 4.84023e+06; 2.41668e+06
4400; 5.28701e+06; 2.6399e+06
4600; 5.75416e+06; 2.87332e+06
4800; 6.29533e+06; 3.14374e+06
5000; 6.83982e+06; 3.41582e+06
5200; 7.34136e+06; 3.66643e+06
5400; 7.96587e+06; 3.97852e+06
5600; 8.57656e+06; 4.2837e+06
6000; 9.83626e+06; 4.91322e+06
5800; 9.20465e+06; 4.59758e+06
6200; 1.04485e+07; 5.21916e+06
6400; 1.11759e+07; 5.58271e+06
6600; 1.1894e+07; 5.94159e+06
6800; 1.25627e+07; 6.27581e+06
7000; 1.33959e+07; 6.6922e+06
7200; 1.41778e+07; 7.083e+06
7400; 1.49811e+07; 7.48448e+06
7600; 1.57319e+07; 7.85976e+06
7800; 1.64924e+07; 8.23982e+06
8000; 1.75169e+07; 8.75192e+06
8200; 1.83163e+07; 9.15143e+06
8400; 1.92241e+07; 9.6052e+06
8600; 2.02425e+07; 1.01142e+07
8800; 2.11619e+07; 1.05738e+07
9000; 2.20421e+07; 1.10137e+07
9200; 2.29584e+07; 1.14717e+07
9400; 2.4144e+07; 1.20643e+07
9600; 2.51166e+07; 1.25505e+07
9800; 2.62307e+07; 1.31073e+07
10000; 2.72624e+07; 1.3623e+07
